,Airline,Review,Scores,Cluster
215,Wizz,If it was possible to give a negative rating I would. It feels like they're a criminal syndicate running a racketeering ring.,-0.6808,2
216,Wizz,"A terrible experience with abusive staff and misinformation. Arriving at check in I was confronted by a miserable individual who seemed to be only looking for problems. Firstly my wife, a Thai National, produced her passport and valid visa for visiting Abu Dhabi was told she could not fly as her visa was incorrect. This was a lie as it was completely in order. he then changed his mind and said we could fly but as we were transiting we could not leave the airport. Another lie. Having booked an extra bag he then informed us we would have to pay again for the bag as it had to become hand luggage as we were unable to collect the bag at Abu Dhabi airport without leaving the transit Zone. He then said as we had not checked in online we must pay also an extra 96 euros . I explained I had tried to check in but with the website it was impossible to do so . By now I had paid an extra 160 euros and had lost my overnight hotel booking.  On arrival in Abu Dhabi we went directly to immigration and they informed us the visa was fully valid to leave the airport. A nightmare experience and a good reason to never fly with this airline again, It'll cost you more than a proper airline.  On complaining to Wizz about this misinformation and the unnecessary of rebooking our luggage, I was told under article 3@£4£@2 I was not entitled to a refund. ",-0.8617,2
217,Wizz,"DO NOT FLY WITH WIZZAIR, AVOID THIS COMPANY, the check-in staff in Antalya Airport are they are absolutely unprofessional, rude and arrogant not  proper guidelines, first of all their website do not allowed us to to check in on line and they charge us in the airport and event threatened us by saying that we have to buy another ticket, and he said he will not allow us board the plane. The plane also got delayed for 2 hours and we the passenger were boarding the cleaning staff was there in the plane. ABSOLUTELY SHOCKING EXPERIENCE WITH THIS AIRLINE. SAVE YOURSELF THE HEADACHES!",-0.9606,2
218,Wizz,"The whole process of boarding the plane from Istanbul airport was farcical to say the least.There were security checks 3 times before boarding from the departure lounge as well as checking luggage again!No announcement was made to board the plane which was 30 minutes late or notification about any delay and then the mad rush to board the plane , no logial order as other airlines board in row order !Then there were air crew were constantly chatting at the back of thr plane about their next holidays so loudly disturbing passengers. ",-0.6968,3
219,Wizz,"Awful awful awful. First and last time I fly with them. My sister was not allowed entry to Istanbul, Wizz was unreachable and they allowed her to book another return ticket but no boarding pass. Airport did not honour the ticket and I could not get hold of them. In the end she had to fly to the uk with Turkish Airline. So wizz air took money for 3 tickets and she was not even allowed to enter Istanbul. Waste of 2,000 including transfers and hotel. AVOIR FLYING WITH WIZZ AIR. I will stick to Emirates and Qatar Airways thanks. ",-0.8921,3
221,Wizz,Misleading luggage policy. They need to be investigated for fair and transparent pricing. I paid for a 10kg bag online but was forced to pay 73eur at the airport as apparently this cabin ba is different type of luggage. This was not made clear to me whatsoever during the booking process. This was after I hardly avoided extra charges during highly misleading checking too. My first and last time flying with this rubbbish company. ,-0.9475,2
222,Wizz,Flight cancelled...Customer service is absolutely ABYSMAL!THEY ARE SO INCREDIBLY RUDE AND UNPROFESSIONAL!! Wizz Air refusing compensation for everything even though we were told by both the pilot and the staff on the check in desk at the airport that we would be able to claim compensation for the money we've lost.DO NOT FLY WITH WIZZ AIR!,-0.9482,1
225,Wizz,The worst company ever. Fees everywhere and delays in flights more than 2 hours.First and last time flying with this company,-0.6249,3
226,Wizz,"I am truly disgusted of the services provided by Wizzair. I arrived at Luton Airport 3 hours earlier for my check in just to be informed that I will be extra charged 44.5 pounds because the online check in is closed and the airport check in has to be paid. I was not informed earlier,  at any stage by WizzAir of this procedure. The attendants were rude, unfriendly and insulted me as it was apparently only my fault. There was no other person in the cue, but apparently everyone was busy and treated me with disrespect. Later on, I was given a priority sticker for my carry on bag just to be aligned with everyone else in the long cue of boarding the flight. No use for it at all as the treatment continued to be poor, unfriendly and unsupportive. What a nightmare of flight and a shamefully cheap carrier. ",-0.977,2
228,Wizz,"I did a reservation and received its confirmation, even with seat number. Unluckily payment went wrong, for technical reasons, maybe due to my bank, I guess. Unluckily I didn't check credit card issues, simply because I don't have any economic problem on the card, and the problem may only be a technical one.  What I complain is that Wizzair, after sending the flight confirmation, didn't inform me that the payment was not successful. In other words, they confirmed the filght before receiving the payment. If payment isn't successful, they simply don't care about. It is your problem, in their opinion, while there may be technical reason that produce a fail in the payment mechanism. BTW they don't accept PayPal, that probably could manage the process more seriously from my side. This is rather unfair, like in my case, because I discovered the problem just one day before the flight, with a lot of connected problems, for other flights in connection. I THINK THAT THEY SHOULDN'T CONFIRM ANYTHING BEFORE IT IS ACTUALLY CONFIRMED,  otherwise, like in my case,  the user may think that everything is ok, while it is not.",-0.9839,1
229,Wizz,"Bad experience, extremely unhelpful and rude customer support. My flight got moved by 1 day, which I could no longer physically take. Took me many hours, 4 rude customer support people to be able to get refund processed. Shocking, they would just leave chat without any help or notice. Still unsure if I got a refund, will have to hope and see in 10 days.",-0.8775,1
230,Wizz,"I called customer service to request my flight history from before 2023 and the guy told me to call customer service 😂😅🤷 So when I explained this is what I am doing right now he suggested to fill in a complaint form. I feel sorry for him, he obviously resents that job..and I am not sure he knows anything about the airline. 2 star only because when I need nothing of them and only fly, it is bearable. Do at your own risk tho. They effectively have no customer service. ",-0.7237,1
233,Wizz,"I do not know if something is wrong with the company in general or if their staff tried to scam me because they have a whole collective of idiots, but they told me that my under-seat bag could not go with me and that I needed to put it with the checked luggage because of some liquid products (This happened at Luton Airport). That would not have been such a problem if they had not charged me for oversized luggage after telling me that I did not need to pay. They allow measurements up to 149×119×171 cm (for checked luggage), while mine was only 45×22×30 cm. I do not know in what world that is considered oversized, but I do know there is no point in buying cheap tickets when you end up paying expensive additional fees anyway.To make things even worse, one of their stupid workers did not know what Revolut was, so I had to pay with my mother's bank card, and they kept taking additional money from it even after I had already landed. How disgusting do you need to be to own a company worth millions and try to hack into my mother's bank account?If anybody plans to fly cheap, I recommend Volotea or EasyJet, because this one was a wild ride.",-0.9368,2
234,Wizz," Complaint Regarding Unreasonable Rules and Poor ServiceDear [Wizz Air] Customer Service,I am writing to express my dissatisfaction with my recent experience with your airline. The policies and procedures I encountered were frustrating and seemed unreasonable. Additionally, the quality of service did not meet my expectations, particularly considering the budget constraints that appeared to compromise the overall experience.I hope you take this feedback seriously and consider making improvements to provide better service to your passengers in the future.",-0.6124,2
235,Wizz,Believe the reviews. The customer support is worse than you'd expect from a budget airline. Nearly impossible to get a refund for a cancelled or rescheduled flight,-0.34,1
236,Wizz,Thank you very much WIZZ AIR for one more time. One more time and was my last time. One more time you robbed me one more time you are the worst AIR fly company. One more time I should split on your face. This is wizz AIR how to make the day of the customer the worst nightmare with wizz AIR. ,-0.7717,1
237,Wizz,"Had to use them to get to a funeral, as the only available flight to Israel on a Saturday. Con artists. Won’t waste the effort seeking a refund for the extra return luggage charge, even though I bought extra luggage on the return and not on the way out. Staff seem to have been trained by the Stasi. First and last time I will ever travel with them.",-0.6486,3
239,Wizz,"WILL NEVER USE WIZZ AIR AGAIN,. DUE TO ILL HEALTH HAD TO CANCEL OUR FLIGHTS IN DECEMBER. NOW 4 MONTHS ON STILL TRYING TO GET A REPLY FROM WIZZ AIR FOR CON FIRMATION WE DID NOT FLY WITH THEM ,WHICH WE NEED FOR OUR OWN PRIVATE INSURANCE. THEY CAN NOT BE BOTHERED TO REPLY TO E MAILS PHONE CALLS FOR SOMETHING SO SIMPLE. CUSTOMER SERVICE IS THE WORST EVER I HAVE HAD TO DEAL WITH AND WILL NEVER FLY WITH THEM AGAIN. WOULD NOT RECOMMEND EITHER.THEY TAKE YOUR MONEY AND THEN DISAPPEAR.",-0.8735,1
241,Wizz,The worst company ever. Every (!) time on every flight I had some problems and delay.Never again!,-0.8118,3
243,Wizz,Flight was cancelled on the outbound flight with no communication before or after. Have emailed and called multiple avenues since for a refund and still to no avail. ,-0.6597,1
244,Wizz,"I’ve flown with @wizzair twice. Both times, I experienced serious issues trying to check in online. So did two other people I traveled with, on different devices, networks, and cities.The site repeatedly crashes at key points in the process, showing vague “try again later” errors. We had to refresh the page 5-6 times each just to get through.What’s the result if you don’t make it in time? You’re charged £60 per person just to check in at the airport.Once is a bug. Three people, twice in a row, on multiple devices? That’s a design flaw or a business model.I’m not asking for a refund (though I probably should). I’m asking:Is Wizzair building tech that fails on purpose?",-0.8042,2
246,Wizz,"Flight was 7,5 hours delayed from copenhagen to Budapest...we received a voucher for 5 euro in compensation!!!! Sitting in the airport now and once again the flight is delayed....it is going to cost me and exstra day off from work...is Wizz going to reimburse me for that? Never traveling with Wizz again....I'd rather Pay more than flying with this amateur company again!!!",-0.5374,2
248,Wizz,"Very disappointing experience with Wizz AirI had four flights booked (London ↔ Rome and Rome ↔ Yerevan). Despite paying extra for luggage, I faced several unfair charges:	1.	When I purchased extra baggage, it was not made clear that it only applied to one flight (London–Rome). I was forced to pay for baggage again on each leg of the journey.	2.	On the Yerevan–Rome flight, the system did not allow me to check in without selecting and paying for a seat.	3.	On the Rome–London flight, the online check-in system repeatedly gave me an error, even though my husband checked in successfully on the same booking. I had no choice but to pay at the airport.",-0.8369,2
250,Wizz,"Wrongfully denied boarding saying I need a visa when it's clearly mentioned on the destination country official website that nationals of my country did not need a visa to travel there. I forced them to verify by calling the airport of the destination country. They deliberately delayed and got a response in the affirmative. But insisted that check-in is now closed. Didn't even provide a ""denied boarding form"" despite my insistence, which is needed for claiming compensation. One wonders how they operate such cheap flights, it's because of these cheap tactics that ruin holidays of people.",-0.8481,2
251,Wizz,"If I could I wouldn't give even 1 star as they simply steal your money. I was trying to buy tickets and everything went smoothly and then their website showed message that my payment didn't go through, so I called the bank to see if that might be some error on their end and to ask if in fact that payment didn't go through which bank has confirmed it that my account didn't even show that Wizzair even tried to charge the money for the tickets. I had to start the whole process of booking tickets again and to my surprise the return ticket price was higher and the luggage price was also more expensive, so overall I had to pay around £15 more which is not that much but that wasn't the first time as it has happened many times before. One can wander how many people had to go through the same process, so they can charge more money. It seems that their website as well as mobile App have some kind of switch build in that can stop your payment in order to extort more money of you. Sad world we are living in where companies have to fall so low to make their money by tricking people with the promise of a good price just to lure them in and rob them out of their money.",-0.8577,2
253,Wizz,i arrived at the airport three hours before my wizz air flight but i was denied boarding due to overbooking.they issued compensation and split it into three payments.two payments arrived but the third one never went through even tho it was sent to the same card.for almost two months wizz air ignored the fact that the last payment had failed.they reacted only after i contacted them myself.support still refused to provide any bank error code or explanaiton.they just claimed the bank rejected it which is not true and asked me to provide another account which i dont have.i already spent an insane amount of time dealing with this and now i am forced to file complaints with neb and adr.avoid this airline whenever possible.,-0.9858,1
254,Wizz,"The company Wizz seams fine for me, I usually fly for 3hours maximum with my son and normally I had a good time flying with them, but to arrive in my city I don't have other options. Last time when I flew from Romania/ Timisoara to London Luton I had the unpleasant morning with the boarding staff member from Wizz. (my passport has been checked and after me, a lady came and she touch the fire extinguisher, that was holding the door, so the door got closed, this staff member came in and she was very upset about the situation, and she said ""if you moved this fire extinguisher, you have to put it back, your mother didn't teach you that? ""if I want, you are not going to take this fly"" and she was shouting to everyone there and in the end she was saying ""we are all without education"".)  I was with my 4 year son I didn't want him to see this kind of behaviour. I really felt disappointed about her behaviour. Again as a airline company I never had major issues with them, and I will have to travel back home again with them. ",-0.9478,3
255,Wizz,"They dont give money back, it's a scam",-0.5719,1
257,Wizz,"Had a booking for a flight from Budapest to Birmingham on Tuesday 28th October.  They rescheduled an early evening flight to mid morning a few months ago.  Now they have changed it to a 6am departure.  So one whole less day to spend in the city, and a stupid o'clock get up time as well.Utter idiots.  Just avoid.  Use someone else.",-0.6808,3
259,Wizz,"I have two flights booked - one for Poland in Dec 2025 with Wizzair and another for Spain in Feb 2026 with Easyjet. I phoned both companies today to book disabled assistance and seats for my friend who I am travelling with on both flights. My experience with  both companies on the phonecalls could not have been any different! The man I spoke to at Wizzair couldn't understand me, kept telling me to speak louder and I was shouting at him! He then kept on saying my friend needed to have a wheelchair and I said ""no not all the time"". What I needed was to prebook seats (no problem before with other airlines - especially BA) and I might need to help her with bags, help her up and down the stairs, to the toilet etc. This man did not get it at all! I cut the call out of pure frustration and he refused to transfer me to anyone else. I then called Easyjet and had no issues at all, the woman I spoke to just added a note and prebooked the seats there and then, I was finished with the call in 1 minute! I've never travelled with Wizzair and I am hoping they change my mind on this flight but its seeming doubtful. ",-0.5744,2
262,Wizz,"Even though as per law you can get a refund if you cancel your flight within a certain amount of hours, BE AWARE that their website will trick you by having their default option be ""wizz air credits"", which once you have submitted a claim/refund, and this is selected, you cannot reverse it (they say its irreversible, which is obvious their way of keeping your money), which means there is no way to get the credits out, so whatever money you spent on the ticket is gone (you have a year to use it with their service or it disappears).This should be illegal (if it isn't). I will be contacting the ombudsman to see what can be done about this, I suggest others do the same.",-0.6369,1
264,Wizz,"If I can score them 0 or minus , I would.Worse customer service ever. Not sure if Sabina Dragova is a human or just a chatbot because she only repeatedly sent same emails again & again for 13x and maybe more. My flight is delayed for 13hours 38minutes and they refused to pay me €400 but my sister who’s also on same flight has got paid. ",-0.408,1
266,Wizz,I wish I had read the reviews before I booked a flight with Wizz Air! On my way out my flight was cancelled I had to wait 6days. That meant everything else had to be rebooked! I didn't get a recompense for this. On my return we were delayed by 3 hours plus 1 hour change of time. And the direct flight ended up being none direct. The plain was late arriving we almost left 4 passengers behind two on wheel chairs. The crew had to be replaced and refuelled. had a collision with a bird while landing and one of the stewardesses was quiet rude to the passengers. We were three hours late and did not even have bottled water for dehydration. Instead of arriving at 8:20 pm we arrived 30 minutes past mid night! Never will I travel with Wizz Air again...   ,-0.7633,3
267,Wizz,"I recently traveled through Larnaca Airport and was extremely disappointed with the setup. Despite having two flights—one to Budapest and one to Thessaloniki—there was only a single  checkpoint for all passengers. This caused unnecessary congestion and delays, and the overall process was inefficient and frustrating. The lack of separate checkpoints for different flights made the experience chaotic and stressful. Definitely not what I expected from an international airport. Very poor organization.",-0.9412,3
268,Wizz,"Wizz Air delayed my flight a couple of times and at the end to next day. They stated the reason: weather in destination country. But in fact my girlfriend lives there and she said it’s ok, no storm ,no fog no nothing in destination.So time spent in the airport was from around 12:00 -22:30 until they managed to book accommodation and transport for us. It was a long and chaotic process because no one at the airport or wizz air knew nothing.Our flight was scheduled for next day at 10:10 but the transport they organised arrived at 5:45 so we was back in the airport at 06:15 and missed the breakfast in hotel.Only food expenses wizz air covered is €5 voucher at the airport. And well for €5 you can get coffee there which cost 4.95. Wizz air states that this is proportional to the time i have spent there.They also refused the compensations saying the weather was too bad to fly, but other flights landed okay + my family lives in the destiantion and said the weather was not badThe hotel they gave us was good thought that’s why 2 stars.",-0.9398,2
271,Wizz,"Awful company, completely unreliable. From cancelled flights to delays and hidden fees. I strongly recommend if you have the option to choose another company to do it, can’t be worse.",-0.5809,1
272,Wizz,"Where do i start.....a bunch of cowboys, staff are unprofessional, spent most of the flight gossiping about other members of staff. These girls do not like Reuben, whoever he may be.No one wore name tags, so I can't name anyone. Staff would whisper and giggle about custo.ers on the flight.Website and app are useless, always crashing and clunky to use. Found out before returning home that we had to log on and pay £2.50 per person to be emailed a copy of our boarding passes. Either that, or we would have to pay 40 euros each to get the boarding passes at the airport.The app and website never managed ro get through ro payment when trying to process the online check in and we ended up being charged over 80 euros at the airport for our boarding passes.",-0.8628,2
273,Wizz,They cancelled my flight and have refused to provide a refund. They claim to have paid the agent but the agent has not received the money. My family holiday won't go ahead because I can't afford to rebook. Liars and thieves,-0.8225,1
274,Wizz,"Very bad service from Wizz Air. My flight was delayed for more than two hours with no proper explanation or support for passengers. During boarding at the counter in Jeddah, Saudi Arabia, the staff member was extremely unprofessional and did not know how to speak to customers respectfully. She charged me extra for not checking in online, but the way she handled the situation was rude and unacceptable. I later complained through the helpline, but until now no one has responded to my complaint. Overall, very disappointing experience and poor customer service.",-0.9841,3
275,Wizz,"Flight cancelled 45 min. before Departure BER-BUD, delayed 24 hours to the next day! Customer service not existing. Passengers left alone at the airport without proper help or alternatives! Wizzair declined reimbursement of alternative Flight ticket rerouting to BUD on the same day.Its not only a low cost airline, its low in every way! Very poor!",-0.8439,3
282,Wizz,"Today I flew with WizzAir from Bucharest to Rome, and the experience was extremely disappointing from start to finish.Even though my baggage was included in the ticket, I was forced to pay extra because it didn’t fit into their ridiculously small measuring frame — clearly designed to make passengers pay more. No clear explanation was offered, just a forced payment with no room for discussion.The flight was delayed by an hour, and communication was nearly nonexistent. Onboard, we were made to re-check all luggage without any announcement or clarification — just chaos and rushed attitude from the staff.The tickets cost €600 — a price that in no way reflects a low-cost experience, but definitely reflects poor service, lack of transparency, and zero professionalism. At that price, I expected at least a minimum of respect and organization.WizzAir seems to have completely lost the concept of customer service and decent treatment. Sadly, this isn’t the first time something like this has happened, but it will certainly be the last time I choose this airline. ",-0.8268,2
284,Wizz,"Was forced to pay the airport check in tax of 48eu per seat. We were 4 people and the 24h online check in was only with paying priority or seats which I didn't want. They basically took the option out from the app or portal so you are forced to pay at the airport and as such the ticket is double the cost. It's the first time I have this issue and there is no one you can fix this with. Nobody answers the phone or the airport reps are just ""not from wizz"" so they cant help. You will spend more money than going with a decent airline in the first place. AVOID.",-0.9284,2
285,Wizz,Disgusting customer service will never ever recommend to anyone ,-0.6715,2
286,Wizz,"What a s*** show of a company. Let alone all the general poor service and the extra charges that make no sense, I called in to see if I can buy a second bag and, because I already have a 32kg bag I cannot get a 2nd one that’s under 32kg? Like, does that make any sense what so ever? Literally, what a rip off company. I really hope they’ll get some competition soon!  I’d pay double only to have a 2nd option rather than paying anything for these thieves. ",-0.794,2
287,Wizz,Would give 0 stars if I could absoloutely terrible rude staff every time I have needed to call the helpline!,-0.75,2
290,Wizz,"I paid £71 for a 10kg checked bag, but no one at check-in told me to drop it off. At the gate, I was told I had to pay another £69.50 for the same bag.Wizz Air’s response? Generic emails saying the service was “used” — ignoring that I’d already paid and followed the process as best I could.No guidance, no help, just double-charged. If you fly Wizz, don’t expect much support if things go wrong.",-0.3919,2
291,Wizz,"Two months ago, I paid for flight tickets via bank transfer, but the company still does not see my payment, even though it was made to the correct account details. My bank confirmed that the receiving bank did receive the funds.I provided all the necessary information to Wizz Air, including all relevant codes and transaction numbers to locate my payment. All they need to do is contact their bank to refund my money, but they refuse to take any action.Wizz Air promised to refund my money, but almost three months have passed and the funds have still not been returned. On top of that, I am now being ignored. I have filed three complaints, written numerous emails, and called multiple times, yet I have received no response.This is extremely unprofessional and unacceptable. I strongly advise others to be cautious when dealing with Wizz Air.",-0.9421,1
294,Wizz,Just to know is Wizzair Indian owned? Because recently we used it to visit Cairo and noticed almost all flight attendants are Indians and more than 90% were male attendants. Most of them are chatting loudly in their language sitting in the back of the plane. One toilet was out of order. Anyway the journey was not good.,-0.3412,3
296,Wizz,Horrendous customer service. Unclear that online checking required. SCAM,-0.8816,1
298,Wizz,"An airline to avoid at all costs.Their prices may look cheap, but it’s a trap  they will charge you for every minor issue. My experience was terrible: our flight to Prague was overbooked : yes, they actually sold more tickets than available seats.We were a group of five and were denied boarding, only to be rebooked on a flight the following day. The staff explained that if you check in online late or don’t pay extra to select a seat, you’re given a “no-seat” ticket. You then have to go through security and wait until everyone boards, hoping someone doesn’t show up so you can take their place.Even though I had purchased priority tickets, the next day’s flight was another disappointment: they didn’t recognize my priority status, and I had more problems during boarding.In short: cheap prices come with hidden costs, poor management, and zero customer care. Spend a bit more and fly with an airline that respects its passengers.",-0.8458,3
299,Wizz,"I’m extremely disappointed with Wizz Air. My flight (W43540 from FMM to TSR) was canceled after a 4-hour delay at the airport, and the experience was completely unacceptable.There was no proper communication, no staff available to explain the situation, and when the cancellation was finally announced, passengers were left stranded with no guidance, no hotel, and no transport options.To make things worse, the next available rebooking was only after 3 days, leaving many of us in a very difficult and costly situation, all without proper support from Wizz Air.This is not how a serious airline should treat its customers. The complete lack of responsibility, empathy, and basic customer service was shocking. I will avoid Wizz Air in the future, and I strongly recommend others do the same unless they are prepared for unpredictable cancellations and no support.",-0.9784,1
300,Wizz,MISERABLE company!They won’t help their clients to prevent being victims of fraud and they are allowing scam companies to get the money for their clients flight problems. Their customers service is totally useless. Worst experience ever with wizzair. Low cost = low services. ,-0.9766,1
301,Wizz,"Disgusting Scammers – Avoid Wizz AirWizz Air is the worst airline I’ve ever encountered. Their sole purpose seems to be scamming customers with hidden fees and absurd charges. From ridiculous baggage policies to unexplained costs, they will find a way to rob you. Their customer service is useless, offering no accountability or help when you face issues.This airline thrives on deception and will ruin your travel experience. Be extremely cautious if you choose to fly with them, though I strongly recommend avoiding them altogether. Wizz Air is a disgrace to the industry. Don’t let them steal your money. Avoid at all costs.",-0.9861,2
303,Wizz,Wizz Air Failed to provide compensation for a flight that had 6 hours delay. They made up claims to avoid paying.,-0.7783,1
304,Wizz,Not a comfortable seats ,-0.4023,3
305,Wizz,"way there is no zero stars?!the ticket standard cost was €56 with no promotion whatsoever, but to cancel the flight was €90!!!",-0.7067,3
306,Wizz,"WizzAir call center agents UAE-English are the worst with whom I spoke so far in my life. They are like they are working as a forced labor or even worse, like they found out that they are dying. Such a rude voice/attitude I've never experience in my life with any not only call center but person in live. ",-0.6249,3
307,Wizz,Outrageous and horrible airline. ,-0.7579,3
309,Wizz,2 hours delay holding people in the plane extra no service no apologies. If you can avoid. ,-0.7845,3
310,Wizz,"Never again. Was at the gate, being told I was put on standby because the flight was oversold. Got up at 4am to travel to Luton for this - worst service, never again!",-0.7325,3
311,Wizz,"I had booked a flight with travel agent and was advised to contact air line to book in , unfortunately they gave me the wrong information and Wizz Air charged me for extras seat and check in which un beknown to me had already been done by travel agent .I was advised by travel agent to contact Wizz Air and explain what happened and to get a refund , Unfortunately the guy on the phone was abrupt and said No refund as per terms and conditions , I explained that the travel agent were to blame but , no empathy no care just no refunds end of story .NEVER will I book with Wizz Air again .customer services is lacking and needs re training ..",-0.85,1
313,Wizz,"I’ve traveled with Wizz Air multiple times, and the flights have consistently been delayed. On one occasion last year, the flight was delayed by several hours. After finally boarding, we were informed mid-air that we would be diverted to Rome, as Naples airport had closed.Despite the significant disruption, Wizz Air denied any refund. Their responses were robotic and unhelpful, and I had to escalate the issue through the Consumer Dispute Resolution. Only after that did they agree to a refund — but it took over 12 months to receive the payment.I will no longer be flying with Wizz Air.",-0.7269,1
314,Wizz,"I paid a flight ticket on my name and everything went fine. Today I wanted to checkin the flight and I noticed that there was a last name missing. I tried to change it from the app, even if the order was correct and I've got the order confirmation on my full name via email, they charged me 60 EURO to update the name. This is just a scam that they are doing in order to charge more from folks. Please avoid Wizz Air!",-0.703,1
315,Wizz,"Worst airline ever and I travel extensively. 6 hour flight, not even a snack instead they keep trying to sell stuff, so embarrassing. My husband took my baby to the back to settle her because passengers were asleep, the cabin crew said to go back to his seat because they need to sleep! One gave such evil looks through the curtains vile man. The staff at the check in desk are miserable as sin and made check in horrendousIf you hate your job that much- quit!!!Spent nearly £2K on flights including seats and baggage so not even cheap. Regret using this rubbish airline",-0.9805,3
317,Wizz,"Total scam!! They block you from checking in online,  and force you to pay 48 euros to check in at airport although i had zero luggage!!Never again !! What a way to make money!",-0.8469,2
318,Wizz,Needed to pay 60€ just for this stupid check-in at the airport because my online check-in didn’t work. Could’ve booked a better airline for this price. ,-0.3612,2
319,Wizz,"Hello, i want to describe how Nana, a flightattendent on our flight from Kutaissi to Athens turnaround a bad check in experiance to a perfect service! We bought the most expensive Tickets with luaggaem free seat options, free chexk in at airport and so on, we couldnt chexk in online or choose our seats, when we arrived at the airport the check in itself was smooth and nice from a guy, problem was we got 3 different rows with 3 people, we didnt see this direct so we passed the passport control and than we saw it, so my wife talked to the woman at zhe gate which refuse super rude to do anything, we tried it than a bit later again after everyone checked in, say they they cant change the seats(which I highly doubts as in every system you can do this!) So we was not really happy but go to the plane, when we arrive i approched the flightattendent with our problem, she ask just show me your booking and than she spoke with a college in the front and we get one row for us with extra leg room, thats for me a perfect example how to turn angry costumer into happy clients! Thank you Nana!",-0.6802,2
322,Wizz,"Truly a scam airline doing everything they can to take as much money as possible. 24 hours before I flight I attempted to check in online but was constantly faced with error messages. I checked multiple times to ensure details were correct, tried different devices and browsers yet the error still came up making me unable to check in. I called up, and the staff were useless and would not solve the issue. I was told I have to check in at the airport desk. But then it’s a £44 check-in fee! They simply would not fix the issue before hand and even put the phone down on me. I must’ve called 10 times to try and sort it out. 3 hours before the flight they stop online check in and I was on my 10th phone call by that point where the staff member said ‘well it’s too late now’. At the airport desk they wouldn’t tell me why I couldn’t check on online and I showed them all the screenshots of the error. They said there’s nothing I can do so I have to pay the £44 check in fee and then make a refund claim. Which is very dumb and a scam. I asked if they could fix whatever the issue was for my return flight so it doesn’t happen again and they said it won’t. Well it did. Again another £44 check in fee. Bare in my 2 flights cost a total of £80 and I have now paid £88 to check in to these £80 flights. I return home and make a claim online and upload the evidence of the error messages, the receipts of check in, and all the proof of phone calls to customer service. The whole system is a scam, they fobbed me off with random excuses and things that didn’t even make sense telling me i was a third party and I had to fill out loads of forms etc. And then they just stopped replying for weeks. Then 7 weeks after my claim, I get a random generic response about my claim saying: ‘Regarding your complaint, we would like to inform you that according to our General Conditions of Carriage for Passengers and Baggage, which you have agreed to, the passenger is obliged to check in before his/her flight and have his/her boarding pass ready. Failure to do so will result in an additional, non-refundable check-in fee being charged at the airport.’You literally can’t even make this stuff up. They didn’t even look at the claim or evidence or anything. 100% a scam company that needs to be investigated. If you read this, please consider just spending that bit more on a better airline as overall you’ll be paying double of what Wizz advertises.",-0.9806,2
323,Wizz,"I used them for the first time to book a flight to Bratislava, including airport parking. Fortunately, the flight and parking went smoothly. However, all I needed afterwards was a simple invoice for the parking so I could claim it as a business expense.I did not expect something so basic to take more than three weeks and waste so much of my time.Their AI assistant is completely useless, there is no effective online chat and the only real option is to call. When I called, I was told I was caller number 38, with an average waiting time of 26 minutes.When I finally reached an agent, I explained that I was not making a complaint or asking for compensation — I simply needed an invoice. I was told I still had to submit a claim. I did that, and three weeks later I am still waiting.It is unbelievable that a company can take payment for a service but make it so difficult to provide a basic invoice. Very poor customer service and a complete waste of time. DONT USE THEM",-0.9319,1
324,Wizz,"Every time I had a problem and asked for help received a Chatgpt witten Mail not related to my request, stating articles after articles saying nothing, never helping. Also at the airports, especially in Romania - very unfriendly, flight attendants and the service overall. Horrible… dumping prices and horror service",-0.7984,1
326,Wizz,"The worst airline on the planet from a bag drop perspective. Everyone goes through the same  queue except “priority”. General queue for all flights early morning consistently had only one to two bag drop processors. On top of that there was a priority system for people who were late for their flight  late for so one of those bag drop processors was taken. Meanwhile priority had 4 to 6 bag drop processors. So even though I was as early as one can be I was one of the last twenty people served out of hundreds.In addition, air stewards wanted to let the plane take off with a violent gentlemen back in the middle of the plane acting up during taxi to the runway. Me and my partner asked for the police to be  called and only then did air stewards act:. But I’ll give them credit for eventually acting.",-0.5267,2
327,Wizz,They close the online check in 3hours before a flight and charge you 50€ per person! You don’t even get a proper warning about this. My bag also fitted inside the allowed carry on size chart but they also charged me an extra €80 because it had wheels. Like seriously how is thus even a thing. Avoid it at all costs and just fly with ryanair if you want to fly on a budget!,-0.5624,0
329,Wizz,"This company is a big joke, you got delay at every flight in the last period, delays under 3 hours so you can't get claim, but delay all the time 1-2 hours, avoid at all cost.",-0.7003,1
330,Wizz,If I could I would give them minus 10 stars. Its total mess! They charged me for the laptop like it's a huge luggage and they messed up the time of the flight informing us that we should come three hours earlier. On top of that there was a problem with seats so basically your ticket means nothing. ,-0.4753,3
332,Wizz,"Absolutely horrible. They are very predatory when it comes to charging extra luggage frees. The Hungarian representatives were curt, rude, disrespectful toward many Armenian passengers. The flights are almost always delayed to begin with. Andrea, the manager, along with the blonde, sassy guy, told me I should stop using WizzAir if I question their attitudes. The rest wouldn't give out their names, and threatened that if I film their behavior, they wouldn't allow me on board. Sure, if you have a bigger luggage, you must be charged extra, however, the way they conveyed the message was very militant, disrespectful. We are paying customers and you provide a service! The Hungarian team needs more training. ",-0.8973,2
333,Wizz,Flight got cancelled after hours of being there - terrible customer service. Very unorganised and slow never fly with them,-0.6249,3
334,Wizz,Appalling They oversell tickets and let you out,-0.5267,2
